"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1019.0","1021.3","1029.1","2010-01-14 08:36","1010.8","2010-01-04 14:21","18.5","26.4","2010-01-31 15:17","10.9","2010-01-14 06:00","13.8","3.2","30","16.3","60","2010-01-25 15:11","71.3","73.6","18","4.0","2010-01-16 16:36","6.5","2010-01-16 16:11","15.5","2010-01-16 00:00","75","61.6","97.2","233.03","...","...","...","7.8"
"02","1015.0","1017.2","1023.2","2010-02-13 09:46","1006.0","2010-02-26 15:15","20.2","28.7","2010-02-26 15:15","13.2","2010-02-19 00:39","15.8","2.8","240","19.0","50","2010-02-11 23:32","81.4","114.9","15","4.5","2010-02-28 15:23","8.0","2010-02-28 14:40","16.0","2010-02-19 00:00","77","50.8","81.3","205.12","...","...","...","7.9"
"03","1015.4","1017.7","1027.1","2010-03-10 21:10","1006.1","2010-03-24 16:01","21.0","28.2","2010-03-23 11:58","10.4","2010-03-10 14:57","15.7","3.4","240","17.7","20","2010-03-25 23:59","36.1","28.8","8","11.5","2010-03-15 21:56","18.5","2010-03-15 21:20","21.0","2010-03-15 00:00","72","95.9","137.5","366.03","...","...","...","7.6"
"04","1013.3","1015.6","1021.2","2010-04-17 09:23","1003.9","2010-04-12 03:31","21.9","30.5","2010-04-22 12:38","16.4","2010-04-15 21:58","16.5","3.3","240","18.2","20","2010-04-07 11:03","59.0","70.2","17","2.5","2010-04-05 14:13","4.5","2010-04-29 17:45","12.5","2010-04-29 00:00","72","85.6","84.7","303.06","...","...","...","8.4"
"05","1007.3","1009.5","1016.1","2010-05-01 09:30","997.3","2010-05-23 13:02","25.5","32.0","2010-05-22 12:19","17.6","2010-05-01 03:23","20.6","2.6","40","12.9","50","2010-05-10 11:20","94.8","62.6","13","5.5","2010-05-03 16:33","20.0","2010-05-03 16:33","30.0","2010-05-03 00:00","75","100.5","131.7","420.74","...","...","...","7.9"
"06","1006.2","1008.4","1011.8","2010-06-02 20:59","1000.2","2010-06-25 17:02","26.5","32.5","2010-06-30 13:00","20.1","2010-06-02 21:46","22.5","2.5","160","14.2","50","2010-06-05 16:48","61.4","68.7","16","7.0","2010-06-26 20:38","7.5","2010-06-26 20:35","22.5","2010-06-12 00:00","79","91.3","124.4","404.34","...","...","...","7.9"
"07","1006.5","1008.7","1011.6","2010-07-17 21:10","1000.6","2010-07-05 15:48","28.8","34.6","2010-07-02 13:50","23.9","2010-07-25 05:36","23.5","2.9","240","16.7","190","2010-07-24 15:42","73.7","35.5","8","13.5","2010-07-25 04:16","27.5","2010-07-25 04:12","30.0","2010-07-25 00:00","73","141.4","260.7","617.64","...","...","...","5.2"
"08","1006.3","1008.5","1013.8","2010-08-19 09:41","996.7","2010-08-09 04:23","28.9","33.6","2010-08-21 14:34","24.3","2010-08-30 05:30","23.5","2.8","240","13.9","10","2010-08-07 14:27","60.2","21.5","11","4.5","2010-08-29 18:52","11.5","2010-08-29 18:30","21.0","2010-08-07 00:00","73","135.0","253.0","602.08","...","...","...","4.8"
"09","1007.6","1009.8","1013.9","2010-09-21 20:41","968.9","2010-09-19 07:20","27.1","32.7","2010-09-07 11:39","22.5","2010-09-20 03:41","22.5","3.0","240","58.4","40","2010-09-19 07:30","477.5","94.7","16","19.0","2010-09-10 00:24","56.5","2010-09-19 05:44","225.1","2010-09-19 00:00","76","104.7","196.3","484.70","...","...","...","5.9"
